"export-plot data (NetLogo 3D 6.0.4)"
"FIRE.nlogo3d"
"12/02/2018 07:32:28:351 +0100"

"MODEL SETTINGS"
"n_w","w_cr","gamma","it-test","sigma_good","n_bf","wr-control","wr-test","pl_good","npo","m","t_initial","p_muc","alpha_min","tick_limit","pl_worst","h","pl_ok","alpha_max","w_it","pl_bad","t_decrease_rate","lambda","npg","n_rl","p_clc","p_plc","p_cpc","w_rt","p_ps","delta_phi","r0","w_wr","npi","p_menteur","p_ppc","cr-control","npb","it-control","pl_perfect","sigma_bad","variations","nc","cr-test","degradation","sigma_ordinary","min_t"
"10","0.5","0.69","true","1","2","false","true","5","40","1","1","0.1","0.25","200","-10","10","0","1","2","-5","0.01","7.21","10","5","0.1","0.1","0.05","2","0.02","9","0.2","1","5","0","0.02","false","45","true","10","2","false","500","true","0.2","2","0.1"

"""Histogramme distribution UG"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"-10","10","0","11600","true","""Control""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Control""","true","0","1","15","9"
"""Test""","true","0","1","65","9"

"""Control""",,,,"""Test"""
"x","y","color","pen down?","x","y","color","pen down?"
"-10","104","15","true","-10","65","65","true"
"-9","180","15","true","-9","111","65","true"
"-8","403","15","true","-8","249","65","true"
"-7","574","15","true","-7","428","65","true"
"-6","826","15","true","-6","549","65","true"
"-5","999","15","true","-5","801","65","true"
"-4","879","15","true","-4","678","65","true"
"-3","884","15","true","-3","738","65","true"
"-2","1328","15","true","-2","1186","65","true"
"-1","2499","15","true","-1","2268","65","true"
"0","4266","15","true","0","3835","65","true"
"1","5947","15","true","1","5515","65","true"
"2","6863","15","true","2","6039","65","true"
"3","6009","15","true","3","5378","65","true"
"4","4431","15","true","4","3957","65","true"
"5","3606","15","true","5","3709","65","true"
"6","6397","15","true","6","7659","65","true"
"7","9192","15","true","7","11245","65","true"
"8","5674","15","true","8","6989","65","true"
"9","1320","15","true","9","1744","65","true"
