"BehaviorSpace results (NetLogo 3D 6.0.4)"
"FIRE.nlogo3d"
"experiment"
"11/28/2018 20:01:18:065 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12"
"n_w","0","0","10","10","20","20","30","30","40","40","50","50"
"[reporter]","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control"""
"[final]","4.632","4.112","4.529","4.587","4.624","3.964","4.124","5.429","4.527","4.222","4.143","4.943"
"[min]","-0.87","-0.759","0","0","-1.135","0","-0.831","0","-0.071","0","0","0"
"[max]","5.671","5.175","5.294","4.81","5.349","4.915","5.212","5.685","5.047","5.368","5.012","5.243"
"[mean]","4.634356713426858","4.234821643286576","4.424805611222449","3.9544148296593202","4.453250501002003","3.912160320641281","4.408138276553112","4.939743486973952","4.082819639278558","4.318969939879758","4.218585170340686","4.519214428857719"
"[steps]","498","498","498","498","498","498","498","498","498","498","498","498"

"[all run data]","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control"""
,"0","0","0","0","0","0","0","0","0","0","0","0"
,"-0.87","-0.759","0.514","1.436","-1.135","0.841","-0.831","0.264","-0.071","0.54","0.599","0.306"
,"1.206","2.615","2.53","1.461","1.645","0.765","3.232","2.392","2.457","1.417","2.13","2.838"
,"4.014","2.15","3.66","3.589","2.544","3.109","4.677","4.745","3.38","3.787","3.304","3.484"
,"5.222","4.239","4.85","3.819","4.202","3.126","4.535","5.226","3.95","4.113","4.544","4.045"
,"4.623","4.357","3.922","4.437","4.309","3.117","4.63","5.016","3.862","4.167","4.056","4.983"
,"4.678","4.428","4.42","4.057","4.568","3.757","4.709","5.37","3.426","4.458","4.151","4.231"
,"4.763","4.51","3.965","4.103","4.529","3.832","4.986","4.623","4.088","4.33","4.032","4.854"
,"5.046","4.04","4.772","3.869","4.369","4.06","4.332","5.183","3.756","4.202","4.285","4.486"
,"4.885","3.849","4.232","3.535","4.298","4.278","4.513","4.473","4.249","4.252","4.22","4.983"
,"4.438","4.186","4.389","4.08","4.403","3.961","4.182","4.63","4.338","4.238","4.799","5.197"
,"4.432","4.211","4.665","4.038","4.726","4.779","4.493","5.17","4.428","3.973","4.587","4.744"
,"4.654","4.209","3.805","3.944","4.128","4.007","4.408","5.073","3.906","4.099","4.005","4.474"
,"4.942","4.173","4.137","4.152","4.039","3.954","4.602","4.77","3.987","4.419","4.182","4.419"
,"4.63","4.749","5.106","3.963","4.681","3.977","4.028","4.157","4.217","4.906","4.22","4.27"
,"4.092","4.507","4.473","3.575","4.586","4.147","4.223","4.6","4.339","4.507","4.273","4.703"
,"4.905","4.38","4.506","4.202","4.682","3.745","4.265","5.073","3.89","4.288","4.571","4.4"
,"4.657","4.443","4.669","4.084","4.516","4.046","4.274","5.246","4.331","4.343","4.048","4.644"
,"4.934","4.208","4.473","4.326","3.969","3.813","4.467","5.395","4.004","4.59","3.948","4.76"
,"4.585","4.721","5.071","4.013","4.45","4.197","4.716","4.605","3.739","4.583","4.078","4.606"
,"4.407","4.221","4.044","4.19","4.891","4.462","4.613","5.284","4.61","4.193","4.828","4.245"
,"4.771","4.591","4.466","4.057","4.81","4.178","4.302","4.558","4.215","4.478","4.307","4.214"
,"4.726","3.606","4.598","4.538","4.786","3.91","4.373","4.731","4.469","3.845","4.288","4.74"
,"4.809","4.256","4.164","4.36","4.286","4.013","4.655","4.808","4.167","4.347","4.521","4.493"
,"4.744","4.397","4.149","3.871","4.658","3.778","4.535","5.177","4.036","3.996","4.836","4.459"
,"5.565","5.141","4.5","4.427","4.797","3.883","3.99","5.072","4.697","4.643","4.449","4.41"
,"4.409","4.125","4.444","3.505","4.687","4.161","4.224","4.983","4.024","4.268","4.052","4.779"
,"4.609","4.165","3.934","3.913","4.689","4.091","4.611","5.213","4.386","4.272","4.137","4.39"
,"4.831","4.217","3.71","3.656","5.001","4.431","4.943","5.42","4.475","4.673","4.02","3.743"
,"4.702","4.499","4.228","4.174","4.483","3.605","4.142","5.346","4.183","4.759","4.05","4.847"
,"5.249","4.664","4.313","4.095","5.229","4.004","4.419","4.335","4.315","3.961","4.066","4.745"
,"4.379","3.951","3.933","4.1","4.528","3.578","3.761","5.175","4.379","4.43","4.317","3.879"
,"4.663","4.58","4.362","3.689","4.032","4.407","4.45","5.167","4.504","3.67","4.186","4.803"
,"4.874","3.74","4.511","4.15","4.272","4.225","4.619","5.141","4.007","4.249","4.269","4.629"
,"4.613","4.541","4.867","3.944","4.165","3.729","4.939","5.167","3.922","4.48","4.61","5.243"
,"4.794","3.942","5.024","3.865","4.569","3.573","4.099","4.917","4.763","4.339","4.144","4.401"
,"4.642","4.221","4.442","3.746","4.382","4.308","3.731","5.217","4.449","4.634","4.895","4.479"
,"5.179","4.254","4.814","4.263","4.72","2.94","4.627","4.988","4.24","4.384","4.129","4.302"
,"4.99","4.431","4.184","3.602","4.407","4.001","4.091","5.129","4.641","4.094","4.419","4.481"
