"BehaviorSpace results (NetLogo 3D 6.0.4)"
"FIRE.nlogo3d"
"n_w"
"11/29/2018 07:08:09:473 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"n_w","5","5","5","5","5","5","5","5","5","5","10","10","10","10","10","10","10","10","10","10","15","15","15","15","15","15","15","15","15","15","20","20","20","20","20","20","20","20","20","20","25","25","25","25","25","25","25","25","25","25","30","30","30","30","30","30","30","30","30","30","35","35","35","35","35","35","35","35","35","35","40","40","40","40","40","40","40","40","40","40","45","45","45","45","45","45","45","45","45","45","50","50","50","50","50","50","50","50","50","50"
"[reporter]","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control"""
"[final]","3.924","3.924","4.186","4.351","4.295","3.869","3.398","4.351","4.212","4.09","4.412","4.673","4.26","3.66","4.351","4.394","3.771","4.551","3.996","4.65","4.042","4.441","4.669","4.594","4.039","4.616","4.348","3.806","3.652","3.966","4.275","3.737","4.168","3.815","3.953","4.308","3.999","4.227","4.36","4.301","4.883","3.645","4.716","4.538","4.275","4.379","3.908","4.299","4.064","4.618","3.811","3.686","4.165","4.674","3.88","4.725","4.597","4.203","4.66","4.369","4.411","4.297","4.497","4.39","3.617","4.595","4.58","3.473","3.75","4.136","4.109","4.385","4.777","3.803","4.14","4.034","4.492","4.36","3.775","4.538","4.663","3.56","3.707","4.106","4.541","3.761","4.406","4.399","3.875","4.514","4.464","3.847","4.586","4.687","4.249","4.208","4.385","3.985","4.294","3.96"
"[min]","-0.592","-0.457","-0.463","-0.431","0","-0.026","-0.538","-0.135","-0.406","-0.581","-0.65","-0.027","-0.027","-0.029","-0.217","-0.17","-0.064","0","-1.026","-0.011","-0.003","-0.119","-0.059","-0.209","-0.584","-0.011","-0.212","-0.381","-0.551","-1.074","0","0","0","-0.2","-0.388","0","-0.103","-0.343","-0.977","-0.355","0","-0.615","0","0","0","0","-0.778","-0.11","-0.799","0","-0.827","-0.15","0","0","-0.539","0","0","0","-0.589","-0.24","0","-0.283","-0.285","0","-0.537","0","0","-0.932","-0.631","-0.281","-0.478","-0.704","0","0","-0.311","-0.145","0","0","0","-0.195","-0.383","-0.584","0","-0.143","0","-0.334","-0.195","-0.394","-0.168","-0.32","0","0","-0.232","-0.12","-0.44","-0.679","0","0","-0.78","-0.199"
"[max]","4.473","4.367","4.445","4.583","4.835","4.366","4.015","4.506","4.432","4.445","4.622","5.217","4.867","4.253","4.938","4.897","4.224","4.975","4.322","4.935","4.522","4.612","5.066","4.964","4.541","4.948","4.694","4.347","4.292","4.481","5.075","4.072","4.681","4.493","4.378","4.563","4.518","4.747","4.502","4.432","5.227","4.03","5.296","4.867","4.546","4.874","4.353","4.688","4.698","4.92","4.267","3.995","4.716","5.011","4.347","5.028","4.857","4.468","4.823","4.818","4.468","4.719","4.921","4.729","4.269","5.033","4.801","3.981","4.225","4.642","4.427","4.782","5.088","4.285","4.585","4.637","4.92","4.842","4.263","5.1","4.868","4.039","4.296","4.405","5.001","4.216","4.661","4.93","4.336","4.67","4.825","4.355","4.601","4.976","4.655","4.718","4.839","4.551","4.653","4.308"
"[mean]","4.0543126252505","3.9754088176352704","4.017859719438877","4.152070140280562","4.345957915831662","3.8880741482966004","3.5653046092184373","4.07829859719439","3.985647294589176","3.9652304609218425","4.259585170340678","4.774416833667329","4.441893787575148","3.8035771543086194","4.319505010020044","4.43305611222445","3.7034248496994","4.578645290581169","3.8931182364729455","4.591076152304611","4.121561122244485","4.242677354709422","4.564038076152305","4.55881162324649","4.095484969939879","4.507595190380756","4.179332665330663","3.9704789579158337","3.8801763527054063","3.9410821643286567","4.607334669338679","3.4921022044088184","4.213685370741483","4.07299398797595","3.886519038076152","4.137627254509019","4.122521042084167","4.2148997995991975","4.095505010020037","4.029200400801601","4.7517695390781585","3.6321923847695357","4.891156312625243","4.444627254509014","4.189208416833669","4.500122244488975","3.8075831663326625","4.223410821643284","4.284468937875748","4.4987194388777505","3.87859519038076","3.49184769539078","4.263018036072145","4.63138476953908","3.9384589178356757","4.668324649298598","4.477456913827657","4.058551102204412","4.38614028056112","4.383835671342688","4.021080160320645","4.239336673346692","4.425100200400805","4.306192384769534","3.8619098196392794","4.613557114228458","4.374521042084166","3.4368657314629285","3.788907815631261","4.1682745490981965","3.989855711422847","4.35735871743487","4.743759519038076","3.819633266533066","4.131923847695387","4.240851703406818","4.460138276553109","4.400969939879763","3.7708657314629264","4.578645290581159","4.46445090180361","3.6164649298597196","3.855190380761522","3.9674268537074147","4.605693386773548","3.73996392785571","4.245182364729461","4.5224108216432874","3.903591182364728","4.270104208416831","4.337270541082164","3.8402444889779543","4.2041002004008","4.62967334669338","4.223935871743489","4.248200400801602","4.4394128256513","4.162374749499","4.203639278557116","3.9031983967935906"
"[steps]","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498","498"

"[all run data]","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control""","mean_UG_all_consumers ""Control"""
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
