"export-plot data (NetLogo 3D 6.0.4)"
"FIRE.nlogo3d"
"12/02/2018 02:26:17:990 +0100"

"MODEL SETTINGS"
"n_w","w_cr","gamma","it-test","sigma_good","n_bf","wr-control","wr-test","pl_good","npo","m","t_initial","p_muc","alpha_min","tick_limit","pl_worst","h","pl_ok","alpha_max","w_it","pl_bad","t_decrease_rate","lambda","npg","n_rl","p_clc","p_plc","p_cpc","w_rt","p_ps","delta_phi","r0","w_wr","npi","p_menteur","p_ppc","cr-control","npb","it-control","pl_perfect","sigma_bad","variations","nc","cr-test","degradation","sigma_ordinary","min_t"
"10","0.5","0.69","true","1","2","false","false","5","40","1","1","0.1","0.25","200","-10","10","0","1","2","-5","0.01","7.21","10","5","0.1","0.1","0.05","2","0.02","9","0.2","1","5","0","0.02","false","45","true","10","2","false","500","true","0.2","2","0.1"

"""Plot UG"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","200","-2","7","true","""Control""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Control""","true","0","1","15","199"
"""Test""","true","0","1","65","199"

"""Control""",,,,"""Test"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","0","65","true"
"1","-0.372","15","true","1","0.071","65","true"
"2","-0.444","15","true","2","4.65","65","true"
"3","-0.291","15","true","3","4.711","65","true"
"4","0.936","15","true","4","4.677","65","true"
"5","0.927","15","true","5","4.465","65","true"
"6","1.296","15","true","6","4.469","65","true"
"7","1.783","15","true","7","4.632","65","true"
"8","1.844","15","true","8","4.562","65","true"
"9","1.744","15","true","9","4.448","65","true"
"10","2.174","15","true","10","4.655","65","true"
"11","1.99","15","true","11","4.582","65","true"
"12","2.379","15","true","12","4.392","65","true"
"13","2.969","15","true","13","4.627","65","true"
"14","2.641","15","true","14","4.787","65","true"
"15","3.065","15","true","15","4.518","65","true"
"16","3.088","15","true","16","4.713","65","true"
"17","3.065","15","true","17","4.541","65","true"
"18","3.508","15","true","18","4.677","65","true"
"19","3.399","15","true","19","4.768","65","true"
"20","3.386","15","true","20","4.639","65","true"
"21","3.56","15","true","21","4.386","65","true"
"22","3.342","15","true","22","4.592","65","true"
"23","3.143","15","true","23","4.675","65","true"
"24","3.691","15","true","24","4.374","65","true"
"25","3.78","15","true","25","4.504","65","true"
"26","3.425","15","true","26","4.622","65","true"
"27","3.043","15","true","27","4.824","65","true"
"28","3.501","15","true","28","4.645","65","true"
"29","3.753","15","true","29","4.363","65","true"
"30","3.309","15","true","30","4.49","65","true"
"31","4.03","15","true","31","4.541","65","true"
"32","3.753","15","true","32","4.685","65","true"
"33","3.617","15","true","33","4.387","65","true"
"34","4.002","15","true","34","4.575","65","true"
"35","3.879","15","true","35","4.676","65","true"
"36","3.606","15","true","36","4.501","65","true"
"37","3.696","15","true","37","4.637","65","true"
"38","3.966","15","true","38","4.598","65","true"
"39","3.971","15","true","39","4.527","65","true"
"40","3.969","15","true","40","4.765","65","true"
"41","3.842","15","true","41","4.409","65","true"
"42","4.024","15","true","42","4.325","65","true"
"43","4.132","15","true","43","4.382","65","true"
"44","4.037","15","true","44","4.51","65","true"
"45","3.82","15","true","45","4.438","65","true"
"46","3.809","15","true","46","4.582","65","true"
"47","4.064","15","true","47","4.543","65","true"
"48","4.123","15","true","48","4.735","65","true"
"49","3.948","15","true","49","4.457","65","true"
"50","4.034","15","true","50","4.365","65","true"
"51","4.005","15","true","51","4.51","65","true"
"52","3.959","15","true","52","4.571","65","true"
"53","3.921","15","true","53","4.409","65","true"
"54","3.943","15","true","54","4.347","65","true"
"55","3.832","15","true","55","4.544","65","true"
"56","4.068","15","true","56","4.142","65","true"
