"export-plot data (NetLogo 3D 6.0.4)"
"FIRE.nlogo3d"
"12/02/2018 02:55:58:859 +0100"

"MODEL SETTINGS"
"n_w","w_cr","gamma","it-test","sigma_good","n_bf","wr-control","wr-test","pl_good","npo","m","t_initial","p_muc","alpha_min","tick_limit","pl_worst","h","pl_ok","alpha_max","w_it","pl_bad","t_decrease_rate","lambda","npg","n_rl","p_clc","p_plc","p_cpc","w_rt","p_ps","delta_phi","r0","w_wr","npi","p_menteur","p_ppc","cr-control","npb","it-control","pl_perfect","sigma_bad","variations","nc","cr-test","degradation","sigma_ordinary","min_t"
"10","0.5","0.69","true","1","2","true","true","5","40","1","1","0.1","0.25","200","-10","10","0","1","2","-5","0.01","7.21","10","5","0.1","0.1","0.05","2","0.02","9","0.2","1","5","0","0.02","false","45","true","10","2","false","500","true","0.2","2","0.1"

"""Plot UG"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","200","-2","7","true","""Control""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Control""","true","0","1","15","199"
"""Test""","true","0","1","65","199"

"""Control""",,,,"""Test"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","0","65","true"
"1","0.526","15","true","1","0.507","65","true"
"2","2.018","15","true","2","4.155","65","true"
"3","2.636","15","true","3","4.217","65","true"
"4","2.991","15","true","4","4.226","65","true"
"5","3.35","15","true","5","4.097","65","true"
"6","3.77","15","true","6","4.249","65","true"
"7","3.432","15","true","7","4.17","65","true"
"8","3.4","15","true","8","4.236","65","true"
"9","3.765","15","true","9","4.242","65","true"
"10","3.738","15","true","10","4.367","65","true"
"11","3.808","15","true","11","4.238","65","true"
"12","3.93","15","true","12","3.884","65","true"
"13","4.004","15","true","13","4.191","65","true"
"14","3.926","15","true","14","4.44","65","true"
"15","3.844","15","true","15","4.483","65","true"
"16","3.971","15","true","16","4.199","65","true"
"17","4.111","15","true","17","4.325","65","true"
"18","4.214","15","true","18","4.225","65","true"
"19","4.093","15","true","19","3.968","65","true"
"20","4.253","15","true","20","4.018","65","true"
"21","4.041","15","true","21","4.298","65","true"
"22","4.206","15","true","22","4.206","65","true"
"23","4.276","15","true","23","4.109","65","true"
"24","4.343","15","true","24","4.211","65","true"
"25","4.127","15","true","25","4.441","65","true"
"26","4.148","15","true","26","4.228","65","true"
"27","4.226","15","true","27","4.145","65","true"
"28","4.352","15","true","28","4.44","65","true"
"29","4.46","15","true","29","4.297","65","true"
"30","4.148","15","true","30","4.451","65","true"
"31","4.272","15","true","31","4.289","65","true"
"32","4.212","15","true","32","4.103","65","true"
"33","4.236","15","true","33","4.387","65","true"
"34","4.037","15","true","34","4.32","65","true"
"35","4.49","15","true","35","4.243","65","true"
"36","4.415","15","true","36","4.613","65","true"
"37","4.222","15","true","37","3.968","65","true"
"38","4.377","15","true","38","4.201","65","true"
"39","3.994","15","true","39","4.101","65","true"
"40","4.434","15","true","40","4.062","65","true"
"41","4.189","15","true","41","4.129","65","true"
"42","4.104","15","true","42","4.071","65","true"
"43","4.275","15","true","43","4.301","65","true"
"44","4.394","15","true","44","4.432","65","true"
"45","4.143","15","true","45","4.349","65","true"
"46","4.391","15","true","46","3.999","65","true"
"47","4.428","15","true","47","4.306","65","true"
"48","4.41","15","true","48","4.381","65","true"
"49","4.28","15","true","49","4.16","65","true"
"50","4.327","15","true","50","4.332","65","true"
"51","4.361","15","true","51","4.117","65","true"
"52","4.256","15","true","52","4.128","65","true"
"53","4.357","15","true","53","4.12","65","true"
"54","3.895","15","true","54","4.154","65","true"
"55","4.092","15","true","55","4.087","65","true"
"56","4.483","15","true","56","4.002","65","true"
