"export-plot data (NetLogo 3D 6.0.4)"
"FIRE.nlogo3d"
"12/02/2018 01:38:00:760 +0100"

"MODEL SETTINGS"
"n_w","w_cr","gamma","it-test","sigma_good","n_bf","wr-control","wr-test","pl_good","npo","m","t_initial","p_muc","alpha_min","tick_limit","pl_worst","h","pl_ok","alpha_max","w_it","pl_bad","t_decrease_rate","lambda","npg","n_rl","p_clc","p_plc","p_cpc","w_rt","p_ps","delta_phi","r0","w_wr","npi","p_menteur","p_ppc","cr-control","npb","it-control","pl_perfect","sigma_bad","variations","nc","cr-test","degradation","sigma_ordinary","min_t"
"10","0.5","0.69","true","1","2","false","true","5","40","1","1","0.1","0.25","200","-10","10","0","1","2","-5","0.01","7.21","10","5","0.1","0.1","0.05","2","0.02","9","0.2","1","5","0","0.02","false","45","true","10","2","false","500","false","0.2","2","0.1"

"""Plot UG"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","200","-2","7","true","""Control""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Control""","true","0","1","15","199"
"""Test""","true","0","1","65","199"

"""Control""",,,,"""Test"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","0","65","true"
"1","-0.724","15","true","1","1.386","65","true"
"2","-0.6","15","true","2","2.551","65","true"
"3","0.004","15","true","3","3.251","65","true"
"4","0.486","15","true","4","3.349","65","true"
"5","1","15","true","5","4.101","65","true"
"6","1.731","15","true","6","3.452","65","true"
"7","1.595","15","true","7","3.737","65","true"
"8","1.827","15","true","8","3.601","65","true"
"9","2.373","15","true","9","3.662","65","true"
"10","2.185","15","true","10","4.178","65","true"
"11","2.906","15","true","11","4.391","65","true"
"12","2.757","15","true","12","4.104","65","true"
"13","2.599","15","true","13","4.149","65","true"
"14","2.841","15","true","14","4.363","65","true"
"15","2.658","15","true","15","4.199","65","true"
"16","3.081","15","true","16","4.336","65","true"
"17","3.138","15","true","17","4.55","65","true"
"18","3.039","15","true","18","4.517","65","true"
"19","2.77","15","true","19","4.598","65","true"
"20","3.105","15","true","20","4.493","65","true"
"21","3.138","15","true","21","4.59","65","true"
"22","3.121","15","true","22","4.484","65","true"
"23","3.37","15","true","23","4.398","65","true"
"24","3.621","15","true","24","4.679","65","true"
"25","3.518","15","true","25","4.64","65","true"
"26","3.708","15","true","26","4.55","65","true"
"27","3.236","15","true","27","4.624","65","true"
"28","3.429","15","true","28","4.592","65","true"
"29","3.538","15","true","29","4.709","65","true"
"30","3.719","15","true","30","4.358","65","true"
"31","3.605","15","true","31","4.41","65","true"
"32","3.795","15","true","32","4.582","65","true"
"33","3.656","15","true","33","4.274","65","true"
"34","3.855","15","true","34","4.621","65","true"
"35","3.916","15","true","35","4.615","65","true"
"36","3.58","15","true","36","4.512","65","true"
"37","3.895","15","true","37","4.48","65","true"
"38","3.847","15","true","38","4.725","65","true"
"39","3.887","15","true","39","4.551","65","true"
"40","3.832","15","true","40","4.744","65","true"
"41","3.893","15","true","41","4.597","65","true"
"42","3.917","15","true","42","4.566","65","true"
"43","3.735","15","true","43","4.512","65","true"
"44","3.869","15","true","44","4.924","65","true"
"45","3.826","15","true","45","4.673","65","true"
"46","4.017","15","true","46","4.542","65","true"
"47","4.135","15","true","47","4.679","65","true"
"48","3.817","15","true","48","4.579","65","true"
"49","4.02","15","true","49","4.714","65","true"
"50","3.863","15","true","50","4.736","65","true"
"51","3.905","15","true","51","4.681","65","true"
"52","3.972","15","true","52","4.524","65","true"
"53","4.104","15","true","53","4.717","65","true"
"54","3.752","15","true","54","4.681","65","true"
"55","3.905","15","true","55","4.479","65","true"
"56","4.036","15","true","56","4.49","65","true"
