"export-plot data (NetLogo 3D 6.0.4)"
"FIRE.nlogo3d"
"12/02/2018 01:16:50:725 +0100"

"MODEL SETTINGS"
"n_w","w_cr","gamma","it-test","sigma_good","n_bf","wr-control","wr-test","pl_good","npo","m","t_initial","p_muc","alpha_min","tick_limit","pl_worst","h","pl_ok","alpha_max","w_it","pl_bad","t_decrease_rate","lambda","npg","n_rl","p_clc","p_plc","p_cpc","w_rt","p_ps","delta_phi","r0","w_wr","npi","p_menteur","p_ppc","cr-control","npb","it-control","pl_perfect","sigma_bad","variations","nc","cr-test","degradation","sigma_ordinary","min_t"
"50","0.5","0.69","false","1","2","false","false","5","40","1","1","0.1","0.25","200","-10","10","0","1","2","-5","0.01","7.21","10","5","0.1","0.1","0.05","2","0.02","9","0.2","1","5","0","0.02","false","45","true","10","2","false","500","false","0.2","2","0.1"

"""Plot UG"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","200","-2","7","true","""Control""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Control""","true","0","1","15","199"
"""Test""","true","0","1","65","0"

"""Control""",,,,"""Test"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","-0.496","15","true",,,,
"2","-0.351","15","true",,,,
"3","0.601","15","true",,,,
"4","0.862","15","true",,,,
"5","1.621","15","true",,,,
"6","1.88","15","true",,,,
"7","1.678","15","true",,,,
"8","2.197","15","true",,,,
"9","1.982","15","true",,,,
"10","2.324","15","true",,,,
"11","2.487","15","true",,,,
"12","3.03","15","true",,,,
"13","2.689","15","true",,,,
"14","2.586","15","true",,,,
"15","2.755","15","true",,,,
"16","2.786","15","true",,,,
"17","3.005","15","true",,,,
"18","3.189","15","true",,,,
"19","3.239","15","true",,,,
"20","3.124","15","true",,,,
"21","3.409","15","true",,,,
"22","3.449","15","true",,,,
"23","3.615","15","true",,,,
"24","3.385","15","true",,,,
"25","3.299","15","true",,,,
"26","3.591","15","true",,,,
"27","3.557","15","true",,,,
"28","3.834","15","true",,,,
"29","3.578","15","true",,,,
"30","3.694","15","true",,,,
"31","3.593","15","true",,,,
"32","3.9","15","true",,,,
"33","3.492","15","true",,,,
"34","3.564","15","true",,,,
"35","3.848","15","true",,,,
"36","3.884","15","true",,,,
"37","3.71","15","true",,,,
"38","4.032","15","true",,,,
"39","3.863","15","true",,,,
"40","3.686","15","true",,,,
"41","3.62","15","true",,,,
"42","4.134","15","true",,,,
"43","3.826","15","true",,,,
"44","3.977","15","true",,,,
"45","4.103","15","true",,,,
"46","3.939","15","true",,,,
"47","4.286","15","true",,,,
"48","4.311","15","true",,,,
"49","4.002","15","true",,,,
"50","3.935","15","true",,,,
"51","4.135","15","true",,,,
"52","3.949","15","true",,,,
"53","4.068","15","true",,,,
"54","4.2","15","true",,,,
"55","4.381","15","true",,,,
"56","4.377","15","true",,,,
"57","4.219","15","true",,,,
"58","4.107","15","true",,,,
"59","3.874","15","true",,,,
"60","4.35","15","true",,,,
"61","4.221","15","true",,,,
"62","4.052","15","true",,,,
"63","4.218","15","true",,,,
"64","4.207","15","true",,,,
"65","3.946","15","true",,,,
"66","4.381","15","true",,,,
"67","4.17","15","true",,,,
"68","4.178","15","true",,,,
"69","4.107","15","true",,,,
"70","4.271","15","true",,,,
"71","4.389","15","true",,,,
"72","4.227","15","true",,,,
"73","4.005","15","true",,,,
"74","4.121","15","true",,,,
"75","3.933","15","true",,,,
"76","4.361","15","true",,,,
"77","4.048","15","true",,,,
"78","4.351","15","true",,,,
"79","4.099","15","true",,,,
"80","4.065","15","true",,,,
"81","4.166","15","true",,,,
"82","4.446","15","true",,,,
"83","4.144","15","true",,,,
