"export-plot data (NetLogo 3D 6.0.4)"
"FIRE.nlogo3d"
"12/02/2018 06:21:41:839 +0100"

"MODEL SETTINGS"
"n_w","w_cr","gamma","it-test","sigma_good","n_bf","wr-control","wr-test","pl_good","npo","m","t_initial","p_muc","alpha_min","tick_limit","pl_worst","h","pl_ok","alpha_max","w_it","pl_bad","t_decrease_rate","lambda","npg","n_rl","p_clc","p_plc","p_cpc","w_rt","p_ps","delta_phi","r0","w_wr","npi","p_menteur","p_ppc","cr-control","npb","it-control","pl_perfect","sigma_bad","variations","nc","cr-test","degradation","sigma_ordinary","min_t"
"10","0.5","0.69","false","1","2","true","false","5","40","1","1","0.1","0.25","200","-10","10","0","1","2","-5","0.01","7.21","10","5","0.1","0.1","0.05","2","0.02","9","0.2","1","5","0.5","0.02","true","45","true","10","2","false","500","false","0.2","2","0.1"

"""Plot UG"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","200","-2","7","true","""Control""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Control""","true","0","1","15","199"
"""Test""","true","0","1","65","0"

"""Control""",,,,"""Test"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","-1.449","15","true",,,,
"2","-0.089","15","true",,,,
"3","0.286","15","true",,,,
"4","1.039","15","true",,,,
"5","1.216","15","true",,,,
"6","1.202","15","true",,,,
"7","1.701","15","true",,,,
"8","1.417","15","true",,,,
"9","1.732","15","true",,,,
"10","1.82","15","true",,,,
"11","1.654","15","true",,,,
"12","1.58","15","true",,,,
"13","1.913","15","true",,,,
"14","1.518","15","true",,,,
"15","1.614","15","true",,,,
"16","1.765","15","true",,,,
"17","1.596","15","true",,,,
"18","1.754","15","true",,,,
"19","1.589","15","true",,,,
"20","1.781","15","true",,,,
"21","1.974","15","true",,,,
"22","1.636","15","true",,,,
"23","1.844","15","true",,,,
"24","1.765","15","true",,,,
"25","1.946","15","true",,,,
"26","1.847","15","true",,,,
"27","1.383","15","true",,,,
"28","1.532","15","true",,,,
"29","1.906","15","true",,,,
"30","1.969","15","true",,,,
"31","1.529","15","true",,,,
"32","1.532","15","true",,,,
"33","1.711","15","true",,,,
"34","1.86","15","true",,,,
"35","1.358","15","true",,,,
"36","1.569","15","true",,,,
"37","1.218","15","true",,,,
"38","1.379","15","true",,,,
"39","1.234","15","true",,,,
"40","1.428","15","true",,,,
"41","1.121","15","true",,,,
"42","2.033","15","true",,,,
"43","1.556","15","true",,,,
"44","1.347","15","true",,,,
"45","1.43","15","true",,,,
"46","1.357","15","true",,,,
"47","1.821","15","true",,,,
"48","1.582","15","true",,,,
"49","1.333","15","true",,,,
"50","1.192","15","true",,,,
"51","1.578","15","true",,,,
"52","2.054","15","true",,,,
"53","1.868","15","true",,,,
"54","1.744","15","true",,,,
"55","1.898","15","true",,,,
"56","1.989","15","true",,,,
"57","2.338","15","true",,,,
"58","2.073","15","true",,,,
"59","1.717","15","true",,,,
"60","1.659","15","true",,,,
"61","2.085","15","true",,,,
"62","1.87","15","true",,,,
"63","1.826","15","true",,,,
"64","1.873","15","true",,,,
"65","2.065","15","true",,,,
"66","1.322","15","true",,,,
"67","0.887","15","true",,,,
"68","1.595","15","true",,,,
"69","1.634","15","true",,,,
"70","1.8","15","true",,,,
"71","1.784","15","true",,,,
"72","1.478","15","true",,,,
"73","2.023","15","true",,,,
"74","1.841","15","true",,,,
"75","1.603","15","true",,,,
"76","1.54","15","true",,,,
"77","1.824","15","true",,,,
"78","1.908","15","true",,,,
"79","1.531","15","true",,,,
"80","1.74","15","true",,,,
"81","1.648","15","true",,,,
"82","1.67","15","true",,,,
"83","1.98","15","true",,,,
